text,label
rt usrId we re updating this interactive map of reported damage from the httpAddress check it out httpAddress httpAddress,__label__1
rt usrId strong 6.1 earthquake rocks san francisco bay area injures 87 significant damage in napa httpAddress,__label__1
rt usrId wisconsin usa madison httpAddress breaking news DD earthquake 6.0 earthquake jolts bay area damage and at least,__label__1
the san francisco earthquake in wine country injured dozens of people httpAddress reuters a 6.0 httpAddress httpAddress,__label__1
rt usrId economic losses from california earthquake could top 1 billion httpAddress,__label__1
rt usrId california wine country quake losses seen in the billions httpAddress,__label__1
over DD injured in napa quake via usrId httpAddress,__label__1
rt usrId httpAddress earthquake DD #earthquake dozens injured D critically after strong earthquake in ca http,__label__1
#newsupdates insured losses from napa earthquake could reach 500m to 1 billion httpAddress,__label__1
video shows moment earthquake hit california ; updated reports say DD injured #cleveland httpAddress,__label__1
rt usrId D critically injured DD treated at hospital after 6.0 magnitude earthquake in california httpAddress,__label__1
rt usrId httpAddress #californiaearthquake DD california earthquake wine country clears up damage around napa califo,__label__1
rt usrId i m taking over coverage of the #napaquake from httpAddress the damage looks striking in httpAddress httpAddress,__label__1
rt usrId httpAddress sfgate DD #sfgate napa damaged more than DD hurt in northern california quake httpAddress,__label__1
napa earthquake map red tagged buildings esri map shows the damages caused by the 6.0 napa httpAddress httpAddress,__label__1
#breaking new injury numbers DD injured D fractures D critical #napaquake httpAddress,__label__1
rt usrId update 10 california wine country shaken by 6.0 quake dozens hurt via usrId #bonds httpAddress,__label__1
rt usrId napa boy crushed by brick chimney in 6.0 quake i should be dead httpAddress,__label__1
rt usrId update 170 people treated for injuries in aftermath of strong #california #earthquake httpAddress httpAddress,__label__1
the former inspector at california s diablo canyon nuclear reactor worries it is susceptible to earthquake httpAddress httpAddress,__label__1
skaters make best of napa earthquake by shredding buckled streets httpAddress #ipost,__label__1
rt usrId quake aftershocks damage napa bridge force lane closure httpAddress,__label__1
fortunately gallery DD in yountville ca only incurred minor damage during sunday s napa valley httpAddress httpAddress,__label__1
napa rushes to fix quake damage as drought means early harvest httpAddress,__label__1
rt usrId quake rocks california wine country dozens injured via usrId #news httpAddress,__label__1
rt usrId fires injuries and more the latest news and updates on this morning s #napaquake httpAddress httpAddress,__label__1
usrId california earthquake destroys half the wine in napa vineyard httpAddress httpAddress usrId,__label__1
rt usrId #djkingassassin 6.0 earthquake shakes northern california cop who killed michael brown httpAddress httpAddress,__label__1
quake in california s wine country injures dozens httpAddress,__label__1
rt usrId what a california thing to do . skater takes advantage of napa earthquake damaged httpAddress via usrId httpAddress,__label__1
rt usrId 6.0 earthquake in california looks terrible ! amp ; it reminds me what a real estate investor friend told me earthquake tim,__label__1
httpAddress california quake damages historic buildings the strongest quake to hit the bay area in .. httpAddress,__label__1
rt usrId damage from #napaquake car under rubble at third and brown streets httpAddress,__label__1
south napa earthquake causes damage injuries kgo tv httpAddress,__label__1
