text,label
continuity central un relief agencies ramp up support to cyclone hit vanuatu httpAddress,__label__2
rt usrId httpAddress chartering a cargo flight of relief supplies for #cyclonepam victims in httpAddress pray for the victi,__label__2
rt usrId photos isolated islands thrashed by cyclone pam pose challenge to relief efforts httpAddress httpAddress,__label__1
cyclone delays leg start httpAddress,__label__1
rt usrId cyclone pam has devastated communities in httpAddress oxfam is httpAddress donate and save httpAddress httpAddress,__label__2
rt usrId deaths devastation as cyclone pam smashes pacific islands httpAddress httpAddress,__label__1
cyclone pam threatens windies quarterfinal hopes napier march DD ians the west indies are keeping an httpAddress httpAddress,__label__2
rt usrId jayleen 21 sheltered a 1 week old baby from httpAddress the roof blew off and the rain was pouring inside #tcpam,__label__1
#food and aid desperately needed as aid workers try to reach remote places after #cyclonepam in #vanuatu httpAddress,__label__2
rt usrId kiwi families very worried for aid workers in cyclone hit vanuatu #cyclonepam httpAddress via usrId,__label__2
rt usrId httpAddress batten down the boat tramp and outdoor furniture here comes cyclone pam #cyclonepam DD http,__label__1
rt usrId httpAddress cyclone pam dozens feared dead in vanuatu in one of worst storms in pacific .. #vanuatu DD,__label__1
rt usrId D people confirmed dead in pacific island nation of vanuatu from destruction by tropical cyclone pam unicef httpAddress httpAddress,__label__1
cyclone devastates pacific islands cyclone pam has completely devastated the islands of vanuatu and httpAddress httpAddress,__label__1
wfpgovts #vanuatu wfp helps govt led response relief amp ; food assistance with support from #australia #uae amp ; usrId httpAddress,__label__2
just in bishop announces 5 million aid package for cyclone hit vanuatu httpAddress #news,__label__2
rt usrId vanuatu s president says cyclone wiped out years of development progress and country must start over httpAddress,__label__2
#fao #livestock vanuatu early reports suggest vast majority of crops destroyed httpAddress,__label__1
the sun has now gone the clouds are heavy and the air has turned httpAddress #farewellsummer #cyclonepam is on her way,__label__2
rt usrId prayer need please pray for the thousands of people who have been devastated by #cyclonepam in httpAddress httpAddress,__label__2
rt usrId mt usrId #vanuatu about 75 00 people need shelter ; 110 00 people no access to clean water httpAddress #t,__label__1
rt usrId people of #vanuatu are going to need a lot of help to rebuild their homes and their lives #cyclonepam httpAddress,__label__2
#amplifytyde #rt president cyclone devastation forcing vanuatu to start anew new york times httpAddress,__label__2
we re keeping an eye on cyclone olwyn here s the latest info if you are planning a weekend camping or httpAddress httpAddress,__label__2
rt usrId #australia helps transport wfp high energy biscuits from the philippines to #vanuatu for #tcpam httpAddress httpAddress,__label__2
rt usrId powerful images from vanuatu after #cyclonepam amp ; the long process of rebuilding httpAddress usrId httpAddress,__label__1
keep safe friends and family in gisborne ! #pam,__label__2
cyclone pam disaster response teams travelling to vanuatu as dozens feared dead aid agencies say the httpAddress httpAddress,__label__1
rt usrId a red cross worker has described the devastation of #vanuatu by #cyclonepam as apocalyptic httpAddress httpAddress,__label__1
rt usrId a major cyclone in vanuatu has left at least DD dead httpAddress httpAddress,__label__1
cyclone leaves shattered homes livelihoods in vanuatu after the fearsome blow dealt by tropical cyclone httpAddress httpAddress,__label__1
rt usrId #tcolwyn still expected to make landfall early tomorrow as cat D cyclone around exmouth usrId httpAddress,__label__2
rt usrId our thoughts are with the people of httpAddress usrId usrId amp ; usrId staff are doing an amazing httpAddress,__label__2
rt usrId tuvalu has evacuated entire population of one island due to damage from cyclone pam #climate #lossanddamage httpAddress,__label__1
rt usrId relief teams from usrId continue to distribute food and supplies to victims of cyclone pam in httpAddress httpAddress,__label__2
un says DD confirmed killed in vanuatu cyclone httpAddress,__label__1
one of the 7yos contributions to our cyclone pam httpAddress httpAddress,__label__2
please consider donating to aid #vanuatu in a time of httpAddress #cyclonepam httpAddress,__label__2
#britain provides humanitarian aid to assist recovery efforts httpAddress #cyclonepam,__label__2
rt usrId thousands in need of food and shelter after cyclone pam rips through vanuatu httpAddress httpAddress,__label__1
rt usrId cyclone damages or destroys 90 of buildings in vanuatu capital httpAddress,__label__1
huge cyclone bears down on tiny nation of vanuatu home to less than 300k people islands between australia and hawaii are about to httpAddress,__label__1
rt usrId #super cyclone httpAddress in #vanuatu #unicef is on standby to respond with emergency httpAddress httpAddress httpAddress,__label__2
rt usrId donate usrId httpAddress,__label__2
usrId usrId usrId me too pam ! it s a royal bummer of epic proportions !,__label__2
cyclone batters pacific island nation of vanuatu httpAddress fears the worst sydney reuters winds of up to DD httpAddress httpAddress,__label__2
vanuatu appeals for aid after cyclone calamity httpAddress,__label__2
rt usrId lagarde my deepest sympathies for cyclone victims of vanuatu imf prepared to assist with quick unbureaucratic steps httpAddress,__label__2
rt usrId cyclone #pam slams into pacific island chain of #vanuatu leaving massive damage and unknown number of dead and httpAddress,__label__1
cyclone pam winds now reported at DD kph 164 mph ; flooding and landslides predicted usrId httpAddress,__label__2
rt usrId emergency response teams from australia are on their way to vanuatu where dozens are feared httpAddress httpAddress #tc,__label__1
rt usrId conservative estimate 70 of port vila hospital httpAddress can t chill medicine they re short of httpAddress #cyclonepam http,__label__1
vanuatu appeals for lending hand in wake of cyclone pam httpAddress via usrId,__label__2
cyclone pam darwin based medics head to vanuatu to provide aid abc a team of six people from darwin have httpAddress httpAddress,__label__2
to the ends of the earth loving vanuatu after cyclone pam how god uses international ties to httpAddress httpAddress #mcgmed,__label__2
httpAddress targets shelter water in httpAddress million appeal for cyclone hit vanuatu london thomson reuters httpAddress httpAddress,__label__2
vanuatu islanders running out of food water after cyclone huffington post httpAddress #food,__label__1
rt usrId help #vanuatu get through this httpAddress donate now httpAddress httpAddress,__label__2
rt usrId mt usrId a medical team amp ; field hospital from darwin will go to httpAddress will be at main httpAddress #tcpam #relief,__label__2
un confirms DD deaths on vanuatu due to cyclone video deadly cyclone carves path of destruction httpAddress,__label__1
rt usrId #cyclonepam leaves death and destruction on its path in the #pacific #us #ap #afp #cnn #world httpAddress http,__label__1
rt usrId red cross unbelievable destruction in port vila vanuatu from tropical cyclone httpAddress httpAddress httpAddress,__label__1
starlets pam DD northern soul DD better tell him no vg clean httpAddress httpAddress,__label__1
rt usrId here s another great organisation to donate to partnering with my old host organisation live and learn #cyclonepam https,__label__2
breaking DD confirmed dead and 3 300 displaced in vanuatu as result of cyclone pam according to united nations #cnn,__label__1
rt usrId D adventist churches destroyed in vanuatu httpAddress httpAddress,__label__1
vanuatu struggles to account for death in cyclones wake death toll confusion due largely to a near total httpAddress httpAddress,__label__1
