text,label
#money #news #top #b httpAddress quake hits nepal causing big damage injuries get httpAddress,__label__1
rt usrId #nepalearthquake update the indian army says DD bodies have been found on #mounteverest after an #avalanche buried part of,__label__1
rt usrId cnn obtains powerful images of baby rescued at least DD hours after #nepalearthquake hit httpAddress httpAddress,__label__1
rt usrId our reports show #nepalearthquake destruction including epicentre httpAddress amp ; httpAddress httpAddress,__label__1
rt usrId dharahara once nepal s tallest monument seen in 1920 1934 2013 httpAddress i hope we rebuild httpAddress #nepalearthquake http,__label__1
think of nepal over DD daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is,__label__1
kontext bat rt wsj google executive dan fredinburg killed in everest avalanche after nepal earthquake httpAddress,__label__1
buried for D days and still alive five days after a massive earthquake decimated large swaths of nepal httpAddress httpAddress,__label__1
rt usrId breaking nepal police official says at least 1 910 have died including DD in kathmandu in the quake,__label__1
rt usrId after nepal earthquake a pile of bodies and a lost world httpAddress httpAddress,__label__1
google exec dies in mt . everest avalanche after nepal quake httpAddress #startup #entrepreneurs #ideas,__label__1
rt usrId nepal earthquake reduces world heritage sites to rubble httpAddress httpAddress,__label__1
rt usrId . usrId usrId amp ; usrId were at everest basecamp when #nepalquake httpAddress both safe but DD others dead htt,__label__1
rt usrId #nepalearthquake latest httpAddress 3 617 killed 6 515 injured totals set to rise huge damage httpAddress,__label__1
rt usrId bruce jenner still front page of yahoo when DD people died in an earthquake in nepal this morning,__label__1
rt usrId hey people searching for any info on my brother liam oliver in nepal and was traveling chanje dharpani annapurna cir,__label__1
nepal earthquake death toll exceeds 1 500 rolling report httpAddress rolling coverage of developments in himalayan nation,__label__1
rt usrId death toll from massive nepal #earthquake rises to DD with many more trapped under rubble httpAddress httpAddress,__label__1
rt usrId a survivor was pulled from the rubble in httpAddress follow updates on the nepal earthquake httpAddress httpAddress,__label__1
rt usrId many people killed and injured in powerful quake in nepal scores of people have been killed and many injured .. httpAddress,__label__1
15k people died in nepal ? httpAddress my heart breaks for them,__label__1
villages near nepal earthquakes epicenter are desperate five hours by car from kathmandu then by foot for several miles past the httpAddress,__label__1
live nepal quake toll could reach 10 00 says pm koirala httpAddress httpAddress,__label__1
rt usrId startling images of destruction in #nepal after httpAddress httpAddress httpAddress httpAddress,__label__1
rt timesnow DD people from maharashtra stranded in nepal are safe maharashtra cm devendra fadnavis pti,__label__1
india rescues DD people from nepal death toll 1 DD0 after nepal was struck by the worst earthquake in DD httpAddress httpAddress,__label__1
rt usrId death toll from nepal #earthquake is now near 4 00 including 3 862 in httpAddress httpAddress httpAddress,__label__1
rt usrId 4 npal missing they were trekking in langtang near ghore tabela during #nepalearthquake httpAddress please rt httpAddress,__label__1
rt usrId more than manpower search amp ; rescue teams are operating with their dogs to locate survivors in #nepal httpAddress,__label__1
rt usrId what was we pose to do ? rt usrId 1 00 were killed in nepal amp ; people were worrying about bruce httpAddress httpAddress,__label__1
rt usrId httpAddress nepal earthquake death toll tops DD #nepalearthquake DD httpAddress,__label__1
the #nepalearthquake has taken the lives of more that DD people #rip,__label__1
these rescues from nepal that are still happening are httpAddress it just blows my mind that babies and others are still making it . #nepal,__label__1
rt usrId rescuers in nepal s capital kathmandu have found a fifteen year old boy alive in an air pocket under tonnes of httpAddress #sab,__label__1
death toll rises to DD after 7.8 magnitude earthquake devastates nepal httpAddress,__label__1
rt usrId DD dead in httpAddress lamjung epicentre initial reports more than DD httpAddress india to dispatch additional doctors amp ;,__label__1
caritas nepal situation D days after quake pretty bad as death toll rises httpAddress,__label__1
nepal quake survivors struggle with shortages as death toll tops httpAddress httpAddress bo pledges ms in aid yet billions for httpAddress,__label__1
wowaa photos over DD killed in massive earthquake in nepal today httpAddress,__label__1
rt usrId t946 usrId to search someone missing in #kathmandu after #nepalearthquake text httpAddress name to 919773300 usrId,__label__1
rt usrId 4 26 15 nepals hospitals swamped as quake toll passes 2 400 thousands injured #reuters httpAddress http,__label__1
jannat director kunal deshmukh safe in quake hit nepal just talked to kunal amp ; httpAddress they r both sitting .. httpAddress,__label__1
dozens of britons untraced in nepal httpAddress,__label__1
usrId is there anyway you can post his pic so someone may find him in nepal im his daughter living in md,__label__1
rt usrId images are coming to cnn of the devastating #nepalquake that has killed httpAddress httpAddress httpAddress,__label__1
rt usrId #nepalquake #nepal avalanche on everest south side climbers went httpAddress httpAddress,__label__1
facebook came through httpAddress httpAddress worried about a friend in #nepalearthquake and this popped up on my httpAddress httpAddress,__label__1
earthquake kills D in bengal chief minister mamata banerjee phones pm modi a massive earthquake in nepal felt in most parts of httpAddress,__label__1
rt usrId these images makes me httpAddress some kathmandu sites were destroyed because of httpAddress #praygornepal httpAddress,__label__1
nepal seeks help death toll seen rising after devastating quake kathmandu reuters nepal urged countries .. httpAddress,__label__1
rt usrId the death toll from the scary nepal quake has reached httpAddress but thats httpAddress of the haiti toll httpAddress http,__label__1
earthquake levels nepals beautiful historic buildings httpAddress #occupy #ows #occupywallstreet #occupyhq #grassroots #usa #,__label__1
rt usrId people desperate for food medicine shelter from httpAddress at least 1 900 people are httpAddress httpAddress,__label__1
rt usrId boundary wall of kathmandu airport damaged in #nepalearthquake httpAddress,__label__1
for those of you httpAddress an earthquake in nepal just killed 4 00 httpAddress,__label__1
rt usrId watch man is pulled from nepal earthquake rubble after 80 hour ordeal httpAddress,__label__1
rt usrId nepal after the earthquake DD photos immediate aftermath of the devastating 7.8 quake httpAddress http,__label__1
rt usrId DD climbers dead DD missing in quake triggered avalanche on mt httpAddress follow live httpAddress httpAddress,__label__1
rt nepal earthquake at least DD from karnataka feared stranded a day after an earthquake ravaged httpAddress httpAddress #news,__label__1
death toll uncertain as biggest quake in more than DD years hits httpAddress httpAddress,__label__1
family of missing ottawa hiker faye kennedy says she is alive but injured and airlifted to kathmandu no idea of extent of injuries usrId,__label__1
rt usrId person httpAddress #nepalquake httpAddress,__label__1
rt usrId nepal earthquake nearly DD people httpAddress my prayers for the people httpAddress httpAddress,__label__1
rt usrId #prayfornepal a 7.9 earthquake has killed more than DD httpAddress pls join me in praying for #nepal httpAddress,__label__1
rt usrId nepal urgently appeals for body bags tents amp ; water as death toll tops 2 300 httpAddress via usrId http,__label__1
officials concede they made mistakes in initial response to nepal quake that killed over 5 00 anger and httpAddress httpAddress,__label__1
rt usrId best story ever 4 month old baby survives 24 hrs under rubble in httpAddress nepal army httpAddress httpAddress httpAddress,__label__1
#retweet rt ajenews aftershocks reported as death toll in nepal quake hits 2 430 killed httpAddress httpAddress,__label__1
rt usrId when reports will cm from their death toll may climb to 500 10 00 baburam bhattarai frmr nepal pm #nepalearthqauke httpAddress,__label__1
many dead in powerful nepal quake httpAddress,__label__1
xinhua abt httpAddress affected in nepal 200dead a big tragedy usrId,__label__1
rt usrId truly awful httpAddress kathmandu s darbar square a unesco world heritage site in ruins after today s httpAddress httpAddress,__label__1
rt usrId death toll in #nepalearthquake crosses httpAddress over DD injured #kathmanduquake #avalanche #indiawithnepal,__label__1
#nepal #disaster nepalis dig through quake rubble for survivors pm says toll could be 10 00 the death httpAddress #news,__label__1
nepal map #nepalmap nepal earthquake devastation in maps and images update ontario can oshawa httpAddress httpAddress,__label__1
rt usrId DD of DD chinese stranded in a hydropower station in #nepal were airlifted to safety on tues by chinese httpAddress httpAddress,__label__1
death toll from nepal earthquake rises to more than 4 700 with more than 9 00 httpAddress httpAddress,__label__1
help rt my sister sydney schumacher is missing in #langtang #nepalearthquake info on the website httpAddress help,__label__1
rt usrId over DD people died in the nepal earthquake but no one seems to care about that right now,__label__1
death toll from nepal quake jumps over 2 100 the earthquake struck near kathmandu nepal s httpAddress httpAddress,__label__1
rt usrId kathmandu patan httpAddress old royal square httpAddress httpAddress,__label__1
so devastating the amount of deaths in nepal due to the earthquake 4 5 #prayfornepal,__label__1
rt usrId 4 month old baby trapped for DD hours in nepal earthquake rubble finally rescued 7 pics httpAddress httpAddress,__label__1
bbc news nepal earthquake brothers from wales missing httpAddress,__label__1
rt usrId my heart is broken over the loss of DD people in nepal death of freddie gray beheading of coptic christians n httpAddress w,__label__1
rt usrId more than DD people have already died in #nepalearthquake this is a monstrous httpAddress #prayersfornepal,__label__1
rt usrId huge cheers as DD yr old pemba lama brought out of the rubble rescuers used heavy equipment even a car httpAddress #nepalearthq,__label__1
nepal earthquake kills over DD people ; more than DD dead in india,__label__1
rt usrId most new high rises in #kathmandu ok old buildings httpAddress temples reduced to httpAddress,__label__1
rt usrId seven israelis rescued from nepal tibet border area httpAddress,__label__1
rt usrId #modiministry up to DD missing after avalanche hits nepal trekking route httpAddress,__label__1
rt usrId DD killed in a magnitude 7.9 earthquake in nepal usgs httpAddress #irantalks #google #mumbai,__label__1
rt usrId hundreds of people getting treatment outside of teaching hospital #earthquake #nepal httpAddress,__label__1
nepal earthquake death toll climbs to 1896 massive rescue efforts on as .. hindustan times hindustan httpAddress httpAddress,__label__1
rt usrId nepal quake death toll almost at DD httpAddress witnesses say people are confused and httpAddress httpAddress httpAddress,__label__1
rt usrId extremely heart wrecking to learn that more than DD people are dead in nepal httpAddress their souls rest in peace #earthquake,__label__1
the beautiful #patan durbar square as i captured it just a few days httpAddress what a shame ! #nepal #earthquake httpAddress,__label__1
rt usrId a httpAddress earthquake has struck nepal killing at least DD people httpAddress #nepalearthquake httpAddress,__label__1
at least 2 263 people dead in the httpAddress my heart goes out to their families and the people of nepal,__label__1
nepal shaken by deadly earthquake latest death toll tops 1 800 google exec among at least DD killed in httpAddress httpAddress,__label__1
usrId nepal earthquake death toll rises above DD httpAddress,__label__1
rt usrId woman pulled alive from #nepalearthquake rubble after more than D days trapped alongside bodies in kathmandu httpAddress,__label__1
rt usrId a 7.8 magnitude earthquake rocked nepal this morning claiming DD httpAddress the aftermath is httpAddress httpAddress,__label__1
rt usrId #nepal army rescued a 4 month old baby from the rubble in bhaktapur after the httpAddress via radio express httpAddress fm http,__label__1
if you are looking for your missing family or friends post #nepalearthquake then please send us their photos amp ; contact httpAddress,__label__1
briton among nepal earthquake dead victim who was confirmed dead after searches by diplomatic staff httpAddress httpAddress gua,__label__1
rt usrId usrId usrId usrId nepal landmarks before and after the earthquake httpAddress #prayfornepal,__label__1
rt usrId scots listed missing after the #nepalearthquake have been making contact with their families httpAddress ht,__label__1
woman pulled alive from wreckage after nepal quake httpAddress #nigeria #news,__label__1
rt usrId nepal telecom survives 7.8 earthquake while smaller isps suffer outages httpAddress httpAddress,__label__1
rt usrId boy 15 found alive in rubble in kathmandu five days after nepal earthquake httpAddress,__label__1
rt usrId breaking death toll from nepal earthquake tops httpAddress,__label__1
