text,label
rt usrId god is with us . let s pray for everyone s httpAddress f #rubyph #hagupit httpAddress,__label__2
rt usrId cebu city mayor rama suspended classes in all levels private amp ; public schools tomorrow december D #walangpasok #rubyph,__label__1
super typhoon hagupit poses deadly risks to philippines raises specter of haiyan mashable,__label__2
video from httpAddress wind and rain picking up due to #hagupitph please volunteer and help us monitor the httpAddress httpAddress,__label__2
rt usrId strong winds reported b4 #rubyph s httpAddress our thoughts httpAddress pple of #philippines amp ; usrId in #manila #tacloban #borongan #hagup,__label__2
get updates on the govph s relief and recovery efforts post #rubyph via the official gazette httpAddress httpAddress,__label__2
rt usrId httpAddress families with pets forced to stay on sidewalk cos they aren t allowed in evac center #cebu #rubyph httpAddress,__label__2
nothing beats a prayer #rubyph #keepsafe httpAddress,__label__2
panic in philippines as typhoon hagupit bears down on nation filipinos living in areas devastated by the httpAddress httpAddress,__label__2
hundreds of thousands take shelter as typhoon hagupit sweeps across the eastern philippines toppling trees and threatening coastal httpAddress,__label__2
rt usrId our yolanda experience was more than httpAddress please don t make it as worst as httpAddress #rubyph #rubyintacloban #hagupit,__label__2
rt usrId pagasa metro manila can expect strong winds light moderate rain tonight httpAddress 7 ; may be placed under sig #2 #rubyph httpAddress,__label__2
evacuees head home as hagupit leaves philippines httpAddress,__label__2
rt usrId praying for all my maddians who were affected by the typhoon in the philippines f,__label__2
rt usrId usrId praying that the typhoon will continue to httpAddress #rubyph,__label__2
don t let a little rain get you down ! httpAddress #rubyph our prayers are with you !,__label__2
rt usrId i will heal the httpAddress df #prayforthephilippines #rubyph httpAddress,__label__2
rt usrId as typhoon ruby makes landfall please have these flood safety tips in httpAddress be safe everyone #rubyph httpAddress,__label__2
be informed httpAddress . . #rubyph httpAddress,__label__2
rt usrId following instructions from the office of the governor classes in all levels are suspended today december httpAddress #walangpasok,__label__2
thank you lord humina na si #rubyph,__label__2
don t forget to smile at the storm because god never leave us . he is the king in the httpAddress #keepsafeeveryone #rubyph,__label__2
rt usrId #hagupit the super typhoon heading for the #philippines httpAddress,__label__2
usrId two die as storm lashes philippines two people are reportedly killed by the typhoon pounding the httpAddress usrId,__label__1
#aksyonsahagupit australian gov t to provide DD metric tonnes of rice to support families affected by #rubyph httpAddress,__label__2
stay safe guys rt usrId typhoon #hagupit still on course for the philippines httpAddress httpAddress,__label__2
rt usrId stay at home and keep safe everyone ! a just prayf #rubyph,__label__2
rt usrId #prayforvisayas #rubyph prayer is a powerful weapon pray for the people affected httpAddress,__label__2
rt usrId keep safe httpAddress #rubyph,__label__2
rt usrId #cbcp calls for #prayerpower vs #hagupit headlines news the #philippinestar httpAddress httpAddress,__label__2
rt usrId painful situation in the philippines reminds us of the urgency to act on #climatechange httpAddress #cop20 #hagup,__label__2
globe offers libreng tawag from D countries to the philippines #rubyph httpAddress httpAddress,__label__2
a broken roadway can be httpAddress a broken sea brace httpAddress 800nm off typhoon httpAddress #bungakantandua httpAddress,__label__1
rt usrId typhoon hagupit over half a million evacuate in philippines httpAddress httpAddress,__label__2
dir raffy alejandro ocd 5 currently no reported casualties from the bicol httpAddress #rubyph usrId,__label__1
we dont want anything more from you #ruby ! httpAddress stop stay safe httpAddress dont forget to pray #rubyph,__label__2
#rubyph stay safe everyone ! always httpAddress,__label__2
httpAddress tc pages page httpAddress very ugly DD million in philippines in path of typhoon hagupit,__label__1
rt usrId please don t dear god is survivor s httpAddress quote from tacloban man front page philippine inquirer as country braces for,__label__2
rt usrId storm signals raised over DD areas as #rubyph intensifies httpAddress httpAddress,__label__2
rt usrId as of 12nn orange rainfall warning raised over metro manila and calabarzon via usrId #rubyph,__label__2
rt usrId according to pagasa s weather specialist chris perez #rubyph may exit somewhere in batangas area usrId,__label__2
#rubyph is expected to make landfall tonight or sunday morning over eastern northern samar httpAddress usrId usrId,__label__2
rt usrId we have updated our travel advice ref typhoon #rubyph httpAddress # httpAddress take care ! https httpAddresshttpAddresst . cohttpAddress0gwuyj4ltx,__label__2
rt usrId as of 12mn httpAddress 8 2014 374 907 food packs are available at the dswd nroc amp ; field offices #rubyresponse #rubyph #reliefph,__label__2
massive evacuation as typhoon hagupit nears philippines httpAddress,__label__2
rt usrId dear god we all know you can hear our httpAddress please make everyone httpAddress amen f . #rubyph #keepsafe httpAddress,__label__2
rt usrId #pagasa forecaster chris perez announced that #rubyph has been downgraded to a tropical httpAddress httpAddress vi,__label__2
photo a cave in the philippines is used as an evacuation center as typhoon hagupit slams the eastern part of the country usrId,__label__2
rt usrId from pagasa s httpAddress track forecast for typhoon httpAddress httpAddress,__label__2
international news typhoon sweeps across philippines via httpAddress full story at httpAddress,__label__2
police told to prepare for hagupit httpAddress,__label__2
usrId this gt ; httpAddress usrId said 40 chance landfall despite ur correction last night httpAddress,__label__2
rt usrId update #rubyph landfall expected 8pm in dolores e . httpAddress still a very strong typhoon,__label__2
rt usrId preparedness works ! download this checklist of crucial items for your go httpAddress #hagupit #rubyph httpAddress,__label__2
